"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.882404498936783,0.00157702173881529,0.0732110178617111,0.738386190549496,0.83382946076807,0.882140300015787,0.931771442838578,1.02487824264749,2155.15013461741,1.00136218898448,0.87935256229878,0.0713325060725727,0.751941745096553,0.828844111867773,0.877698530967771,0.922387345100375,1.03246133753558,0.887800789674241,0.0749555908835185,0.744593752758887,0.838211408989631,0.886035280956226,0.943121100420356,1.02619262445471,0.881456282699656,0.0737335679650162,0.730159011668887,0.835027102631188,0.882075662618516,0.929607326282813,1.02497352997319,0.881008361074454,0.0725786799376631,0.732379694993921,0.834177522080184,0.883862868059137,0.93126309153933,1.01815128420604
"attackGoals_raw[1,1]",1.95566288406407,0.0660164252627607,2.58219956413454,-2.99252453912073,0.139244346214613,1.9614156494082,3.75623266103488,6.93884200294189,1529.94422660955,1.0033114581074,2.12564250668782,2.55307704515356,-2.96786647285688,0.324599395099681,2.19365496765403,3.93043759544061,6.85852785143725,1.85910208801571,2.60013025821461,-3.22783706282435,0.139674560287705,1.83930033217069,3.67637980546625,6.69515982102276,1.95786660229688,2.59234608246606,-2.97086632815716,0.103490490061547,1.90834107690927,3.73969053454991,7.26572512368625,1.88004033925588,2.57758024980363,-2.89988396303819,0.0106080686775134,1.87576835466924,3.64555875291724,6.92122965753033
"attackGoals_raw[1,2]",-1.52798602805076,0.0632513534987983,3.18947251091853,-7.64651904126061,-3.72928680415688,-1.55195465697484,0.588360875230875,4.83249167718367,2542.71731420166,1.00121033169834,-1.40718322923598,3.13005604317362,-7.5421507382599,-3.43312333258441,-1.43077231816992,0.666832358169271,4.71816427009815,-1.5120904941791,3.16910529074356,-7.44528688493165,-3.69666165934392,-1.67277555790131,0.586456091052626,5.20390072043068,-1.56623400343525,3.23873393081536,-7.68706778412377,-3.87603520838952,-1.63817774971327,0.595928811757753,4.85818809223644,-1.62643638535271,3.21861381162824,-7.87548357644413,-3.80873827720289,-1.45689568339762,0.521923456125327,4.48979535939184
"attackGoals_raw[1,3]",1.44786102570466,0.0696971600521321,2.94151199130494,-4.40354653850443,-0.579188761075262,1.47452258307118,3.51461157183581,7.08246288628545,1781.19341861313,1.0028938874803,1.61542917699478,2.84720692690613,-4.37744642057187,-0.31336543072763,1.70385086657605,3.57949649872651,7.01931096707791,1.36361306116211,3.03266234789842,-4.76967032808504,-0.711646508765873,1.3784048703946,3.61201217421846,7.11787505782987,1.40925791783322,2.95596775787827,-4.40460599726596,-0.625825942124732,1.45576885669286,3.39929222056729,7.07123659622211,1.40314394682854,2.92415502703914,-4.0785884565789,-0.627841997546954,1.33761789528463,3.45915393387116,6.97361428962367
"attackGoals_raw[1,4]",-2.12563910581797,0.0608696560980506,2.76248436438691,-7.25674926065642,-4.04870780944275,-2.19573012074672,-0.301900058369656,3.46805649671689,2059.67150668564,1.00058226724966,-1.99293980756951,2.6638619977831,-6.97420463976774,-3.84162798772636,-2.03504056418868,-0.257554030963232,3.3974577506588,-2.11926081809868,2.84144448787292,-7.65334973550559,-4.03824772383412,-2.19297835351582,-0.22415219882576,3.39299740332886,-2.1843578197196,2.82246435482399,-7.13193284253573,-4.16012214723955,-2.22902405980111,-0.37442617217688,3.54820023786019,-2.2059979778841,2.71657126659673,-7.38463481792087,-4.11378014904311,-2.28914390259122,-0.380735131510469,3.4766653967128
"attackGoals_raw[1,5]",1.15440256888712,0.0614375785963174,3.14082968407196,-5.20434869155879,-1.01340835409486,1.23359007594212,3.24890854430757,7.29028220292592,2613.48849186312,1.00021436026288,1.25829335401341,3.13685136361908,-4.87073933357594,-0.937456235968093,1.26231561022736,3.49527713262554,7.38843103339032,1.15310272804301,3.12342127862317,-5.14526717972859,-0.961256369389275,1.37108176080022,3.1485934446232,7.26013279929646,1.15451472563342,3.22631007446765,-5.37562698933514,-1.19086432718562,1.29703051474913,3.38048893092257,7.33166228197015,1.05169946785862,3.075208163599,-5.29354460439332,-0.95300134734117,1.0680165842026,3.06389036432575,7.02751041885423
"attackGoals_raw[1,6]",0.852966488734378,0.0638645290240218,2.89343500562035,-4.70661139752982,-1.14336059402005,0.855804619083663,2.82182600880722,6.52795441797738,2052.61753766279,1.00476679856741,1.05991814735894,2.82254517002223,-4.30233383821383,-0.927248467357458,1.05328071582557,2.9118828454434,6.56507031457826,0.612028470399134,2.93349923589158,-4.57706509176776,-1.51706605144438,0.602556636478756,2.6587954499111,6.50814709110547,0.914442024526346,2.86947162694239,-4.98860610383509,-1.00200838512375,0.937240941585984,2.87204265551593,6.42552108069796,0.825477312653092,2.93196648985249,-4.91900486283383,-1.13856697474869,0.866729959875721,2.82171427804562,6.5287349641507
"attackGoals_raw[1,7]",1.12222885778384,0.0637671370265944,2.93341744584528,-4.57857225408945,-0.896921922336758,1.12658973402381,3.16290514777778,6.88295703562528,2116.1863245445,1.00183793520696,1.25256276954937,2.75343549664236,-4.09594850782784,-0.591428054621614,1.2121442401625,3.07474825242735,6.87374741598699,0.944738173480739,3.01640746487169,-5.1192713393581,-1.19691471268604,0.947171634394091,3.10883676174677,6.70710388124691,1.15040146338322,2.92790793103846,-4.30220575987631,-0.890014998987497,1.15226258786997,3.19450749818773,6.81641460597417,1.14121302472205,3.02290761325434,-4.75188332665879,-0.935397649885382,1.1686267528648,3.3163855028104,7.10998890613519
"attackGoals_raw[1,8]",0.0261684430975365,0.0515230957350031,2.72332704137684,-5.4126098133561,-1.82381929553815,-0.0211033935675013,1.87651095506834,5.39979327739361,2793.80247605433,1.00112960710993,0.0709354717597154,2.60917047387273,-4.95954841319132,-1.68348376764289,0.135567898802193,1.7315981716507,5.33624473036434,-0.0895581903133593,2.63683129228765,-5.36432940456201,-1.92712630112514,-0.168451497440415,1.78978405399204,5.02976130147408,0.100774291540072,2.88006610862692,-5.60753445724974,-1.84932436309583,-0.00588333130525331,2.19326899973985,5.67169588751141,0.0225221994037183,2.75815719174545,-5.47490869744945,-1.86082756873552,-0.0439538221323641,1.86132649735046,5.52418578380771
"attackGoals_raw[1,9]",0.122040054066935,0.0691366651958213,3.08854781253128,-6.10086531711482,-2.03824061807419,0.180984920449947,2.24338095970275,6.15342378707498,1995.68412489629,1.00109861921702,0.325602178800668,3.16055248073041,-6.07664111499777,-1.86298007449825,0.325712717432744,2.56864420917123,6.28766308529793,0.0276751182228207,3.0169112574801,-6.08295487344791,-2.02510751123434,0.155050628670397,1.97398812741249,5.66564949130779,0.104779184035472,3.1588199880017,-6.20811975489876,-2.13353237800326,0.107959724534076,2.44281887265387,6.38051260702223,0.0301037352087781,3.00853677817921,-6.01543862189133,-2.13479458822906,0.118489349900672,1.99554487250209,6.27026986825601
"attackGoals_raw[1,10]",-3.1563217916689,0.0659211678261417,3.3432317902705,-8.64586507240263,-5.79350920108827,-3.33906061407531,-0.844537415998595,3.78197739277855,2572.07240843114,1.00094775654665,-3.08613669854877,3.36332136115717,-8.62652090936618,-5.70137038948215,-3.2118713075177,-0.856613576541399,3.9533578676718,-3.24087586935198,3.49424563107065,-8.70438696679778,-6.023382001578,-3.43729391156643,-0.69913845275668,3.90677359918778,-3.08077549621052,3.23035682264574,-8.57773476965469,-5.65122573081189,-3.37208195730361,-0.81069190357086,3.44767651480263,-3.21749910256433,3.27981877223244,-8.64608580673569,-5.79284801913343,-3.46373548624872,-0.978939752952236,3.78380574769882
"attackGoals_raw[1,11]",1.78584879351166,0.0811393894534625,3.52430367458202,-5.56136864387783,-0.558802751965131,1.93271374429473,4.36709878371155,8.06820261350255,1886.61452821729,1.00417715730728,1.78026074867308,3.42885400901023,-5.4546730139068,-0.541303171138756,1.89723135781622,4.26043157601782,8.11224861461745,1.50125368733211,3.70096798993612,-6.00584473843259,-0.916692075085753,1.76850192263372,4.18154942412298,7.93765561274037,1.89042188628945,3.51334195288976,-5.48554868687534,-0.446377107476698,2.01036538443219,4.49725912777765,8.15829700689574,1.97145885175201,3.43342542607443,-5.16885532979673,-0.306863015848699,2.08562105885671,4.52009749550181,7.99274822665637
"attackGoals_raw[1,12]",3.78432283501562,0.0855829394112432,2.85603803165973,-2.35582101020497,1.87859269100142,3.90710681635615,5.95490483677917,8.67480428411902,1113.66244720047,1.00715371742595,3.91439139109322,2.74797493971441,-1.75283286040477,2.09437020416738,4.03987579327493,5.9899335626801,8.62301445513227,3.44239835237998,3.03916867624668,-3.29618510322391,1.60762545593401,3.5684224444762,5.66839230381038,8.5600343219326,3.92721718635234,2.84866749213757,-1.94020656598434,1.8935971614811,4.18971102303281,6.0259949740267,8.83645023975324,3.85328441023694,2.75417035436769,-1.50029610411643,1.90245061998177,3.8226540290363,6.06184632607683,8.5707115503325
"attackGoals_raw[1,13]",-3.46223425761208,0.0628480163661743,3.2476313807421,-8.75230502813721,-5.93886871833045,-3.64314504820003,-1.26994992105694,3.35479399254046,2670.24006970279,1.00076740594885,-3.48199467620351,3.19254308352058,-8.71107233238741,-5.7904871106633,-3.63303674454954,-1.36260859021627,3.40632456941723,-3.36716145545199,3.24505549368603,-8.5834393608312,-5.83818446897923,-3.56788420065408,-1.29227070777625,3.56505167382398,-3.37039824006299,3.33476876510244,-8.82042455153235,-5.96722600036331,-3.51230723921898,-1.09970492575482,3.37067299084591,-3.62938265872981,3.21318129456508,-8.80053677280209,-6.1256376788719,-3.9214386933472,-1.40842879269767,2.90001621204553
