"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.90236542770417,0.00105166938646288,0.0618616472939486,0.781095655968052,0.860465442139333,0.903175566765642,0.943592485367867,1.0224890821935,3460.06690850629,1.00001892111419,0.899031439738362,0.0618696848229517,0.775847151459236,0.858481043391155,0.900657460014567,0.940246445403619,1.01878043000021,0.904294874924177,0.0629172641183686,0.784463170113171,0.860481692007118,0.904611548407881,0.945325080499898,1.02808739244643,0.903366957109181,0.0607902886639567,0.780221086637639,0.863024670824845,0.90403700825626,0.944698720032452,1.01912950981519,0.90276843904496,0.0617958711759165,0.785472864156176,0.860742710592633,0.905442583127635,0.943467820453104,1.02194706258246
"attackGoals_raw[1,1]",2.05429885821812,0.0693233211441,2.66954454248482,-3.04506145565685,0.158080034356052,2.01885151722303,3.92953860119318,7.24166051099557,1482.91282709207,1.00147481429278,2.09322377383666,2.67877419624918,-3.02169253467711,0.208217351902372,2.12187731327151,3.85756352417315,7.31432304435972,2.23071909624331,2.71803128503875,-2.73557467603389,0.292673192124291,2.01117299674202,4.18138233369856,7.61692119944417,1.86209524677248,2.67688220205371,-3.17193407980885,-0.151793282346125,1.85657243422776,3.66263118297697,6.83786937052839,2.03115731602003,2.59298915203511,-3.17004883158951,0.187537000974687,2.06821784014496,3.93893063786171,6.77913656837148
"attackGoals_raw[1,2]",-1.56280649956121,0.0605018716129011,3.31072293921854,-7.76505581463082,-3.91939251496689,-1.63404742666178,0.734246145758823,4.99012671606002,2994.38788204215,1.00085107106308,-1.52033676014954,3.26183303692419,-7.72109144783097,-3.85875771941712,-1.49775817740783,0.762800417772444,4.9481360066663,-1.4708299505673,3.36208151736952,-7.59848137202322,-3.76239834316351,-1.560220852361,0.741477727390837,5.37193192818843,-1.7277152436552,3.28796853012097,-7.95598551635004,-4.13946906498949,-1.78560097793435,0.559929931238834,4.90512851445147,-1.53234404387281,3.32829863622293,-7.68607447249964,-3.92708649346402,-1.63182038210841,0.844213497809124,4.84239854491239
"attackGoals_raw[1,3]",1.60122857476297,0.0660467138704086,3.02240636519447,-4.46581000908852,-0.448121433623959,1.60797218482084,3.7217221398031,7.57725562337897,2094.1282800952,1.00109965106027,1.50333130645742,2.9767064480754,-4.72841506289538,-0.375829261044085,1.60148482787389,3.55026343324459,7.34192036643949,1.82634986114095,3.08699624412168,-4.48044926300614,-0.238893589449754,1.80405517421037,4.00915200889235,7.83790294943862,1.50571915645467,2.98900212543592,-4.21534938494175,-0.602631152239648,1.52594189048853,3.56614781249055,7.24276115969431,1.56951397499886,3.02767136069497,-4.33102307691189,-0.520526393193112,1.54643139477597,3.71842369623338,7.735853558141
"attackGoals_raw[1,4]",-2.3414161936735,0.0592316251171621,2.82139917917735,-7.37763979348112,-4.38837634420465,-2.4654899881142,-0.474989686914695,3.37516755245762,2268.93353747628,0.999769939600918,-2.36280979753719,2.74721800343595,-7.25338096823644,-4.38994520609161,-2.41274359311327,-0.574516446325138,3.32755527783091,-2.27077754069293,2.84434624561926,-7.3655059626772,-4.41604792350335,-2.37944453403583,-0.287639898686403,3.336239883594,-2.34869145914352,2.93313266019209,-7.73107032232019,-4.38555311787013,-2.54617547009871,-0.31894466558473,3.41162132632778,-2.38338597732034,2.75902991564136,-7.30958217961072,-4.34689629174183,-2.52167821875948,-0.563385840639738,3.39617979881675
"attackGoals_raw[1,5]",1.27442140605491,0.0613918874662951,3.21713042961756,-4.99620769458298,-0.985898271551135,1.27668723574288,3.57517010096619,7.28077374133868,2746.09378657324,1.00005479427778,1.23237203191067,3.26251779013605,-5.26047738206226,-1.14783683377091,1.29354458419739,3.63429391187291,7.11210488400938,1.31899047070479,3.19529974479846,-4.85638758073289,-0.760000154048508,1.13657346185207,3.5561617340514,7.51860346087245,1.3214785184629,3.21943008162028,-4.94704110764463,-0.935506881743776,1.41382887227095,3.63489497041342,7.38847091058623,1.22484460314129,3.19334403881056,-4.83784769063827,-1.07721103536783,1.25374030697303,3.48508305819744,7.27094452832102
"attackGoals_raw[1,6]",1.06442819475518,0.0601348390512531,2.94952166465228,-4.63441932409018,-0.970709172141998,1.01573823529669,3.1661331097183,6.71799962927865,2405.75210835625,1.00026654463328,1.16778777346015,2.9151107218765,-4.4360809377697,-0.845224218721085,1.11627588370787,3.28817800351292,6.62547940437205,1.20741235658636,3.10552347375723,-5.04556464704369,-0.904944720653786,1.29238125547693,3.46204869744082,6.95635745510567,0.916384425597117,2.90807761878731,-4.71683691628342,-1.07667006902183,0.877298900315433,2.96272936514125,6.57002682396703,0.966128223377089,2.85618424128405,-4.28443403975356,-1.02813150284108,0.890919886110126,2.93987813937627,6.64172042306078
"attackGoals_raw[1,7]",1.36087515270087,0.0607206097594941,2.95415884098485,-4.41754244774229,-0.684242911779377,1.35854774108523,3.44879562289683,6.93295690171519,2366.98462965367,0.999805979768633,1.3801255103318,2.97203183525613,-4.29919896552951,-0.644205339970043,1.32881705367669,3.48703132927508,7.05351018275495,1.4564240717716,3.02664185899103,-4.62419913321085,-0.685351740583286,1.47861560357044,3.60531422620759,7.05746886658672,1.31151814582503,2.92611731954122,-4.52576713573779,-0.712489457633033,1.39627239846406,3.47522559280207,6.86653718967205,1.29543288287507,2.89089100943992,-4.15738616446269,-0.668078769791383,1.22708489026896,3.31943546278809,6.61773405745565
"attackGoals_raw[1,8]",-0.0819618275413571,0.0473563928081259,2.77525636215648,-5.44799777104291,-2.0130426567533,-0.103462358925318,1.78322921332792,5.52101291154391,3434.38505291494,1.00072407316448,-0.162931539501539,2.69412779583472,-5.49825087353655,-1.99128855876335,-0.20278625482147,1.64435895260445,5.35100730358388,0.0839895708050307,2.79262101482702,-5.32880342377467,-1.80144450236302,0.0363129609452155,1.8908853469584,5.79071243865513,-0.215215406465631,2.81856009145016,-5.85394054861793,-2.10461174251168,-0.233929131184345,1.62905094081402,5.40158811373375,-0.0336899350032896,2.78767420656986,-5.20814430513281,-2.09855207412293,-0.0310075431519907,1.84542202367715,5.64910356430841
"attackGoals_raw[1,9]",0.0500546046942842,0.0721098052273743,3.31637662008702,-6.48657809591345,-2.2482945361921,0.0283981246637737,2.37713542663399,6.5948040387476,2115.13964035259,1.00005837747086,0.0934958514203391,3.19703378930553,-6.19624118908262,-2.15814214088174,0.238432541787248,2.28149273180803,6.21290135594593,0.20316142866229,3.37855922228887,-6.15355198445471,-2.20673611982691,0.159782583905716,2.54566101470588,7.12591926728713,-0.0922056433949825,3.34545087552829,-6.6661608552178,-2.37933263560334,-0.161508380361316,2.20098071824863,6.12104893483543,-0.0042332179105098,3.33819575062177,-6.6359215194049,-2.26742088337014,-0.055217731549269,2.33904589442161,6.6091780407124
