"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.920246930494215,0.00118803081468554,0.0667561941525355,0.785755211894648,0.876467200302238,0.921278661436902,0.965542610648916,1.04801179691633,3157.38635265644,1.00069612748566,0.920240265971528,0.0680289000576921,0.779924109171459,0.877079711286295,0.923429055151808,0.967658104076313,1.04004398188338,0.917542368201619,0.0684428572608381,0.783240019541783,0.872134656287258,0.919626413901658,0.962074961012219,1.04957297997406,0.923143828310895,0.0640431926691271,0.796523579186316,0.880372737616666,0.921933811923922,0.968217081123296,1.04414199993918,0.920061259492819,0.0663823881241953,0.79305831954715,0.876680096966663,0.921128264664099,0.963804965665323,1.05087234151877
"attackGoals_raw[1,1]",1.95234616369051,0.079588011646175,2.6824471554511,-3.17866093941028,0.0854212350978187,1.90381224045633,3.7897432987556,7.26375454340807,1135.970466392,1.00367003014973,1.96285327687703,2.73877199847281,-3.22826922214335,0.0149699428762009,1.88484983937535,3.92821348802389,7.31551188049255,1.98847322925625,2.61902265818971,-3.07354161464215,0.129938289748672,1.98650609154058,3.82897112728518,6.86414876229576,1.70591322865977,2.73584534453791,-3.29728558224215,-0.180258667048098,1.68799751363724,3.51229311890552,7.69582856778045,2.152144919969,2.61767578963699,-2.92328195071455,0.31172972371397,2.07850627328141,3.98689890633079,7.17954559524702
"attackGoals_raw[1,2]",-1.51547504156117,0.0705043328082518,3.31637219543653,-7.88306384934357,-3.86975475825984,-1.52181505082182,0.794537573196607,4.93167234079953,2212.55928518978,1.00101721909214,-1.56499953454401,3.30737639163153,-8.11901848300438,-3.93643660151122,-1.56468453751954,0.693586190969643,4.94130998069013,-1.35856086605729,3.44301949989425,-7.57618572982343,-3.82458530089511,-1.42177218898549,1.03466781883339,5.3781342056335,-1.71872358590593,3.24820289743733,-7.77326379667642,-4.04755696026241,-1.74002327509494,0.566592373189395,4.50531481757059,-1.41961617973746,3.25547778323114,-7.76965359160093,-3.61200665309711,-1.34822650538033,0.831341326270555,4.66757992017891
"attackGoals_raw[1,3]",1.47831158113716,0.0725590043359049,2.9822983001565,-4.34920248848818,-0.542640664851509,1.48333601926714,3.5413857681304,7.17020373361044,1689.34959747254,1.00246000426509,1.3691017814232,2.92289358981409,-4.25361605489549,-0.535302086886704,1.33310003810448,3.42001113244912,7.01807197578155,1.61876641971922,2.95216456884552,-4.04788626367254,-0.396093294989679,1.64128945745893,3.58289466255965,7.52001948864146,1.1896435889814,3.05301534387559,-4.71244852302773,-0.948854991458924,1.18450027477033,3.25457765719472,7.03623751939949,1.7357345344248,2.97269154617669,-4.34463119134147,-0.316905484398291,1.75129915735092,3.86448964376966,7.05884736303336
"attackGoals_raw[1,4]",-2.29294106321441,0.0724530232804378,2.8704433294569,-7.74794669416745,-4.3455291105443,-2.31987452618091,-0.317131872716496,3.3753436128718,1569.58532593541,1.00101510801127,-2.24766675998244,2.81270828230801,-7.33908799640558,-4.31653655141259,-2.23809666623423,-0.443786588537333,3.70324447890048,-2.25333069984385,3.02376183347461,-7.82732828019045,-4.45556452741026,-2.29238086449268,-0.175591716558181,3.61072219153476,-2.48267057470397,2.82246013841583,-7.87585593105875,-4.50683563505721,-2.55041896981102,-0.5111131249298,3.01036029101379,-2.18809621832738,2.8117923819412,-7.77891569809912,-4.15211809318091,-2.15222101542155,-0.23850463916119,3.11005528584728
"attackGoals_raw[1,5]",1.27920918152489,0.0669910771737642,3.16438597995595,-5.06209856833899,-0.878244461288519,1.25833841567429,3.50260910009051,7.29789601203251,2231.2332916083,1.00135765890506,1.08835026695935,3.16906734738884,-5.26851068994144,-0.999403236323119,1.11208650901893,3.22415660569071,7.30222874249347,1.43134577593785,3.16143264994794,-4.91797467935302,-0.668029171887833,1.38432196979585,3.6497875563479,7.32411985526551,1.098216020372,3.22626484443724,-5.21064081470595,-1.12924436486879,1.10329330299481,3.3656623232577,7.35114166544959,1.49892466283037,3.08062623742659,-4.7809343717553,-0.546266405531497,1.46076392444851,3.79543756237465,7.11708774489072
"attackGoals_raw[1,6]",0.972713243609812,0.0703696204309848,2.94950906980228,-4.69990880474945,-1.07881928516303,0.909703537240288,3.02150957427279,6.76592752147908,1756.82723325047,1.00380452676953,0.800175857532496,2.92800537117381,-4.72450447945554,-1.24574749059923,0.658348710966855,2.79974246790215,6.46856007644622,1.07571157456778,3.07127401664528,-5.26680202051327,-0.926478808309023,1.03913154028291,3.19666845785652,7.14891206100843,0.740929941301152,2.96656169955746,-4.56554716629173,-1.42293840066171,0.648239640641989,2.79088115077674,6.84727129145204,1.27403560103782,2.79782744590979,-4.23523240612217,-0.658744732247235,1.30012070238498,3.26570817218657,6.71290756022208
"attackGoals_raw[1,7]",1.21603695650135,0.0677391995497059,2.92602690984014,-4.51885680751976,-0.82262322559182,1.26691798651054,3.30001521184144,6.71102065301547,1865.84907217158,1.00430684764852,1.16194417962358,2.85396790699804,-4.37371058178105,-0.798475821895974,1.13645504392108,3.17437653949838,6.7324489731966,1.29170839880152,3.09368316982109,-5.37217954054538,-0.782915590688727,1.49048563792308,3.45721564934315,6.64878295520117,0.955474176955694,2.85984830702455,-4.43660590070691,-1.10969898238485,0.855200156193028,2.9731592524269,6.58499073720482,1.45502107062459,2.87029475744866,-4.10483730840905,-0.494618880736759,1.5164758981021,3.49615451395018,6.80978923705592
"attackGoals_raw[1,8]",-0.102890264723898,0.0547448737496478,2.7352036257967,-5.52063257406201,-1.91147051830158,-0.072681858928644,1.70724649775836,5.3223786353941,2496.27489969513,1.00029187116769,-0.216147777945197,2.6976872058707,-5.68591403084554,-1.99598285017134,-0.164411478626507,1.6000762301254,4.90692685669546,-0.000497446754046812,2.72391687609865,-5.30824551976053,-1.77518849078634,0.0976053172984885,1.82993128670276,5.18921792668946,-0.171739060542899,2.74397485509071,-5.61858074252166,-2.01826990793331,-0.122854095966346,1.61411598564457,5.12616347738165,-0.0231767736534501,2.77168796505974,-5.49951528920943,-1.76909580897244,-0.104596530818366,1.76820416361724,5.8167489129005
"attackGoals_raw[1,9]",0.00979667528811502,0.0826821657816956,3.29427662193642,-6.51529614779968,-2.2672032457886,0.0559210308760969,2.30440059662851,6.5150345851975,1587.43678740925,1.00146297618543,0.0806243272782009,3.29906850601816,-6.57895444162088,-2.17783418696454,0.106255349842925,2.32329275073836,6.39680703884412,0.101193308834231,3.30828749891145,-6.40377350331911,-2.17822150588137,0.116553408749436,2.55363698152354,6.3021622560402,-0.279205428627719,3.33788696113756,-6.55213905772219,-2.67413912414015,-0.387794078627031,1.96026207311768,6.61800133383514,0.136574493667747,3.21744252413864,-6.47142794717623,-1.85738572614985,0.284997088620075,2.27128670005333,6.54774369517014
