"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.896828244162216,0.00170335350136284,0.0635529298330282,0.774111554595373,0.852815991654466,0.898152471794957,0.940761130967317,1.01749947562645,1392.07161500579,1.00279841819471,0.899855256725429,0.0613853238569802,0.780066146984736,0.859310386614986,0.901060621353798,0.941192121046996,1.01734291403288,0.89725190277522,0.0651698893970662,0.764676606499325,0.85253206655383,0.898699969079272,0.942013454649997,1.01562942021376,0.891773480993983,0.0644335547839319,0.776686203516078,0.843441110661769,0.892393700794148,0.935189471221295,1.01367509662175,0.898432336154231,0.0629376626573498,0.77553134423372,0.854546736515202,0.8985686460016,0.941770699054829,1.01973913440873
"attackGoals_raw[1,1]",1.90637727283789,0.0884802768212074,2.66510426410866,-3.13407415109509,0.0220841265758525,1.98210315746941,3.8100189171864,7.02724380237563,907.267727623302,1.00891542329568,2.07361599684153,2.57249975032846,-3.08691162053678,0.247712592893709,2.19822693687138,3.87248200798662,7.15747042011649,2.13906356562556,2.59167789465168,-2.84971012005916,0.259213385694314,2.15697410083198,3.97554469782464,7.15832479873328,1.43218482307095,2.81887948749616,-3.54912072930007,-0.758247733402827,1.52163275334743,3.52516387541796,6.5672193419383,1.98064470581352,2.61434818161744,-3.0811356090857,0.0966102086370402,1.94516095186764,3.83813581225107,7.02403134894287
"attackGoals_raw[1,2]",-1.56426639809265,0.0637410872080972,3.26095104088832,-7.7133569574754,-3.87824178256103,-1.60545497445325,0.654495943613281,5.05498498103268,2617.27660597783,1.00229110383788,-1.33895417789291,3.444190445444,-7.45746691150356,-3.81536852880248,-1.38049820212227,0.90510350356826,5.75845814976886,-1.46798307575194,3.18329431300901,-7.53185803513122,-3.76936134479817,-1.35817478831461,0.80120485713008,4.85849613422356,-1.88752948474035,3.03240714577946,-7.78751411259,-3.89866584667378,-1.95639659393091,0.0477900123703439,4.45079389600476,-1.56259885398541,3.34735344739292,-7.87861034535317,-4.04294281353405,-1.54738703167844,0.820935494048959,4.6762231074327
"attackGoals_raw[1,3]",1.42385252212602,0.108478944006243,3.04707566451762,-4.32840669944796,-0.698772490647785,1.50914823141639,3.54213321944261,7.18185148820673,788.99741370865,1.00826979562121,1.42195852507411,2.93586641401967,-4.22943939725616,-0.697112733876476,1.473878044047,3.44099836745408,7.16041588417702,1.75829948116312,2.90941376906281,-4.2899113209988,-0.201910155493577,1.90170154942057,3.79481362740315,6.70991537817517,0.950402515383148,3.23287598301144,-4.5140434841565,-1.28728097683904,0.968214287884725,3.33442885047317,7.24647525562975,1.5647495668837,3.04455975574319,-4.25320312395865,-0.466575204932737,1.6152885488512,3.59119209538375,7.42146184624618
"attackGoals_raw[1,4]",-2.40275231586497,0.0789596944138704,2.83591358410867,-7.62583797727335,-4.42967443576807,-2.52172861737127,-0.511441523872274,3.37691832837233,1289.95650833898,1.0047763190148,-2.26043190600424,2.96382023918176,-7.83592215474326,-4.37579670682623,-2.27731976796184,-0.386034590296324,3.89340003472756,-2.2484575856228,2.84610132524493,-7.720353123513,-4.16468413634508,-2.37320963848776,-0.412578023613927,3.61495184835604,-2.81201834679536,2.70444001768835,-7.3886054801715,-5.12500772427414,-3.00133430198434,-0.989149705193635,2.74583745568471,-2.29010142503748,2.78675281761678,-7.45376181645369,-4.24101789202603,-2.40180174361524,-0.349325642081918,3.23265326032959
"attackGoals_raw[1,5]",1.27210666139629,0.0663973228486736,3.18454178297933,-5.05501285475136,-1.05723391310709,1.37961540587884,3.52987683014151,7.27477775720663,2300.34388663448,1.00357161613775,1.35378399384798,3.25023261194686,-5.25829464671205,-0.895328507131274,1.40115348059855,3.65670468566758,7.4789537009273,1.34291540107346,3.30424608125665,-5.24327529362741,-0.865279172056849,1.53636988383337,3.84069093979083,7.138798348709,0.896959415214528,3.04167904199756,-4.76965572499245,-1.60215034272915,0.920949814730177,2.981245871687,7.13689433373246,1.49476783544918,3.10701758175865,-4.77885306466099,-0.615873319846525,1.54570101504306,3.666829244702,7.376534419206
"attackGoals_raw[1,6]",0.90683667020386,0.0602131338603772,2.91941901499908,-4.67044974562154,-1.12836975412267,0.879066235031494,2.99621901266477,6.56209562856568,2350.77142231211,1.00270022020316,0.874194156167388,2.98020206161412,-4.80419064421441,-1.20625774485392,0.88141001223836,2.95626853778534,6.62211607964166,1.13011550424934,2.94550429386655,-4.59179084338614,-0.805262823961121,1.02199603205062,3.26613297331891,6.71070592206488,0.630590424278279,2.7868470173414,-4.5539136571363,-1.26210692942235,0.411444920282839,2.63453566079564,6.19845719627822,0.99244659612044,2.9417201108861,-4.70953942881604,-1.07622741387127,1.05460318852916,3.06203128786021,6.57642144387226
"attackGoals_raw[1,7]",1.0538910713792,0.12923016448627,2.9951484777159,-4.8543309218473,-0.876202757211551,1.12960034776641,3.13861732379487,6.67483091450993,537.16649785676,1.00817872769344,1.14252775981861,2.83228397501147,-4.51522294965785,-0.70954371100162,1.18251229978682,2.99240937271345,6.63109162066789,1.25848978223542,2.97218041103139,-4.51539858227988,-0.671065115949964,1.29934910565361,3.30792167987998,7.0463038407174,0.570567584276268,3.12013047550201,-4.9004556090669,-1.51440477430465,0.696504417889368,2.86873372538915,6.13546346139615,1.24397915918649,2.9990988673444,-4.55459788479304,-0.778567836861378,1.25185240948415,3.38028511535892,6.8780194548057
"attackGoals_raw[1,8]",-0.20974814194083,0.0572223842688023,2.84220577199492,-5.74771246398749,-2.22132450663478,-0.231116647508205,1.68326593412459,5.38433285475068,2467.05672440749,1.00034470084911,-0.14644757457575,2.90525702912861,-6.1611048802039,-2.03457196459793,-0.207365542847031,1.83931222216572,5.42709348078169,-0.179147395460957,2.91972783770798,-6.09320281577492,-2.20105079522936,-0.0334094477389231,1.82325250322057,5.20619112616978,-0.373615485585406,2.80803737745813,-5.29992712651082,-2.40064099756581,-0.55149722652504,1.43874890138274,5.35753029930708,-0.139782112141206,2.72851867948542,-5.33527163877269,-1.97430850115224,-0.116436744707313,1.65014708192777,5.38154116664922
"attackGoals_raw[1,9]",-0.0209462076318242,0.0789730992765817,3.22281852741033,-6.20935479568945,-2.31591815137999,0.00311289890685718,2.25056851731291,6.26262490322069,1665.37997817741,1.00251207354541,-0.0323168787892305,3.28977264393971,-6.62513907015754,-2.26635259094228,-0.00223078745747074,2.22829116836472,6.27796025850582,0.140474630565281,3.16589687433689,-5.9800933063938,-2.03037345097664,0.143233020702311,2.4223934972614,6.26333150670887,-0.336118401424596,3.13222641195938,-6.22407238206401,-2.59544385691765,-0.366257290723376,1.78856978596343,5.95575029571824,0.144175819121249,3.28053780332289,-6.08149867541161,-2.16316310977728,0.209739168651648,2.48933346563454,6.27639095255486
