"","V1","V2","V3"
"1","Goal attack mean estimates","Behind attack mean estimates","defend means estimates"
"2","0.00225176152353246","0.0292521999453576","0.0371848434370625"
"3","0.0349151647435501","-0.0171306663330247","0.0126106632889164"
"4","-0.060443846562627","-0.0430310339103259","-0.0216311949402426"
"5","-0.00404380697941485","0.000716462427388118","-0.0511554601478506"
"6","-0.00645312907759161","-0.00209974968199841","0.0105959385336611"
"7","0.0152584673319024","-0.0827840410322929","-0.0224020511328265"
"8","-0.0141437266439598","-0.012342746098005","-0.0167358272106136"
"9","0.0197976677803397","0.0147469978291307","-0.0146907343767602"
"10","0.0202543456263362","0.0167962369651113","0.00200545692514057"
"11","0.00508156918926274","0.0118171226736013","-0.0169583130847071"
"12","-0.0354497034253088","-0.0132498232161651","0.0130614513716881"
"13","0.0139870123208724","0.0468263664601558","-0.0163477435880666"
"14","0.00160762934457955","-0.00354169969956856","-0.0107074222315083"
"15","-0.0173551262620305","-0.0370708923435133","-0.0205330910920063"
"16","-0.00553518143428522","-0.0403705131583968","0.05276537716188"
"17","-0.00934236178057519","0.0681001874730872","0.0183109072238635"
"18","0.038096115342415","0.0152869416816958","0.0137659449649246"
"19","0.00151714896300248","0.0480786500177628","0.0308612548974452"
