"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.904269681712203,0.00103902525039173,0.0565468433151215,0.791669866717125,0.866663345367796,0.904169141632626,0.941311610953007,1.01772451592179,2961.86000762545,1.00163237806531,0.904815915362521,0.0539707517147242,0.800268870528256,0.867641786802983,0.903659660167053,0.940822612046058,1.01141549228625,0.90891511849057,0.0560551135251265,0.793389457074758,0.87174940788731,0.907069734534145,0.944603037956454,1.01938895535559,0.902088114914313,0.0586697302647193,0.781316308854849,0.863031710993682,0.904464207024038,0.942075079016515,1.01887786854556,0.901259578081409,0.0571400050181537,0.788322445367013,0.864287011129271,0.901570785784086,0.936732968070074,1.01947022860701
"attackGoals_raw[1,1]",2.03477268414283,0.0657858275687591,2.63810978685205,-3.10879964797057,0.155164868341272,2.01116653920664,3.87547068784516,7.17259692157787,1608.12959831526,1.00135100786934,2.1318563581276,2.57908538197169,-2.93846639472697,0.356653423889426,2.22904007197903,3.84649166742135,7.2657016601316,1.89147798107342,2.68318299326201,-3.23364279243309,-0.122632291342839,1.93017984082485,3.89942144088476,6.84862385878747,2.20584792333668,2.6378752050935,-3.12559031763114,0.348348894059601,2.17792232859997,4.01483336793302,7.46454756000269,1.90990847403364,2.64022634583842,-3.14714555491208,0.0400178096563133,1.76790260084048,3.750343870732,7.1478565807943
"attackGoals_raw[1,2]",-1.65071557932632,0.0677640207390421,3.39639377280659,-7.92658581054955,-4.13494721117883,-1.69818202653965,0.634625696094204,5.2994590164285,2512.10471406828,1.00016602588571,-1.56955947917616,3.28192431525858,-7.48842992911811,-4.00147373673648,-1.60544661647478,0.680367300314041,5.40287499272469,-1.83068161996882,3.45552253827361,-8.20463217624415,-4.34907982606172,-1.92940511407047,0.494273088599207,5.35662411294106,-1.56790148107947,3.3921611791658,-8.0014838755256,-4.12854834832769,-1.57596488057313,0.635609063220593,5.16702984287977,-1.63471973708083,3.45038030715696,-7.99424920659204,-4.02154001483914,-1.68550039144079,0.704442710537031,5.18809651643448
"attackGoals_raw[1,3]",1.42421991251729,0.0640874746797079,3.03348683075094,-4.47915587118563,-0.692067936558318,1.49863054857353,3.50253145282662,7.34532050624147,2240.46369060489,1.0007704275245,1.56920658980585,3.07615294727192,-4.87595987062553,-0.5281728692596,1.68275461935498,3.61442700808989,7.44929256149709,1.2927660453518,3.09615955876041,-4.80407543001796,-0.866621851342618,1.44685411279533,3.44760167884664,7.27933851003964,1.49428854991867,2.96974873289069,-4.20629916138393,-0.580706902506746,1.48275835311996,3.55862181577693,7.33498770317968,1.34061846499285,2.98524759848837,-4.00459834498519,-0.831994974185536,1.36457499621019,3.38540097639062,7.25829811027211
"attackGoals_raw[1,4]",-2.55597352946878,0.0589549220125229,2.86034382021182,-7.82646526040204,-4.6186215316073,-2.72958755926619,-0.611943789401185,3.25341055557883,2353.94515874012,1.00082035611576,-2.41255658163054,2.85636302877313,-7.61625043959035,-4.51425009480924,-2.64511947706748,-0.406678694253474,3.22206806903063,-2.69039642585169,2.8026574751376,-7.7054833079803,-4.74795703500637,-2.79520514857261,-0.861735381605604,3.11646194130346,-2.48836591534507,2.82965815307432,-7.56223910975712,-4.49008054305442,-2.67583328484129,-0.722044787016836,3.45902878939484,-2.63257519504784,2.945528609445,-8.0323576576473,-4.70600289540022,-2.807497737846,-0.487336525191272,3.02585667849357
"attackGoals_raw[1,5]",1.39327145493036,0.0602607320669345,3.29991162402818,-5.28100580630819,-0.86018801220338,1.44862301281823,3.71280761823002,7.7175026843642,2998.71927688967,0.999910435283996,1.41989738770515,3.36999673649831,-5.43171417281033,-0.774899706257655,1.42928823411748,3.8238367119903,7.87335468372102,1.39640449035896,3.18086737589996,-4.86160093205731,-0.788751787590114,1.43206606208131,3.61095207761392,7.34939821010263,1.3978798486471,3.44317884156194,-5.55683567737382,-1.01026211610121,1.42830754889053,3.91888212117122,7.85681711707644,1.35890409301023,3.20181573187957,-5.14379753031802,-0.895845025186238,1.48283878085026,3.5081142600959,7.66262218176966
"attackGoals_raw[1,6]",0.917161282709401,0.0604484860905365,3.02386724299865,-4.85896885338652,-1.22384426393245,0.895053907993224,2.97275448076618,6.77255746895387,2502.38762457505,1.00183622432231,1.16386896987083,3.0293294818851,-4.72225764274392,-0.988900668138954,1.05782411790604,3.23753103313245,7.23649498640267,0.726755678158204,3.14281137585221,-5.17362181032135,-1.53816032896698,0.838740996873421,2.84105030104157,6.72242780917321,0.949217520061158,2.96300746932324,-4.63327465362425,-1.17191877996218,0.907092694856073,2.98858887031412,6.75035020277983,0.828802962747417,2.94236345788697,-4.80416102614513,-1.31016804951501,0.809808356766876,2.93273431196303,6.55956587583909
"attackGoals_raw[1,7]",1.16058263051233,0.0609056806187049,3.05073766818795,-4.78083946549738,-0.94523186752551,1.16905670692717,3.23968181255019,7.13244189027998,2508.96225198002,1.00001785868389,1.24898382074003,2.96185757230832,-4.41229633920277,-0.815931630059896,1.20933859798192,3.24104255492391,7.15421560976496,1.08136270316758,3.13158859367372,-4.80310384902695,-1.08646802812884,1.08202759314365,3.17149973198188,7.39668367591639,1.195904448307,3.01310226355374,-4.93064553249641,-0.794067037986008,1.25444171164581,3.39076198186295,6.80104309058456,1.11607954983472,3.09431587386032,-4.93944612315464,-1.07398094534038,1.16778507506521,3.20116434956054,7.81183144119662
"attackGoals_raw[1,8]",-0.217880446661245,0.0544006603156939,2.84879852600634,-5.86270567423878,-2.09900865014891,-0.215674174734368,1.70248121052407,5.55062379070554,2742.30104726543,1.00223937364542,-0.0676341440116102,2.90602221505977,-5.52983572878508,-2.0895427586761,-0.0415078255514105,1.94871892255044,5.76309024849694,-0.29403938628082,2.78887672286397,-5.59993038457938,-2.19633979663452,-0.37956303506121,1.65737053426197,4.99281556285868,-0.219003751327075,2.82376558190563,-6.1337003329309,-1.93883842688059,-0.261409690903131,1.65775098630098,5.63498219763588,-0.290844505025473,2.8726170377461,-5.96243000817833,-2.14228436595864,-0.216478532888098,1.5500697893647,5.36970962615928
"attackGoals_raw[1,9]",-0.0171314052057482,0.0703303587121504,3.25172556771702,-6.57710806962028,-2.21823712602807,-0.0460345324481128,2.26272284718362,6.25367606826978,2137.67710865553,1.00141124296191,0.0678078766426662,3.18646520555717,-6.38178476386325,-2.15872132363419,0.0780388393523435,2.40505232378806,5.92369107576437,-0.126514059576015,3.28905169736611,-6.88439077122165,-2.361478854189,-0.120319289461344,2.20831888748531,5.74758224959138,0.174065944113635,3.20929888463165,-6.03455555889239,-1.97129051647501,0.0595425849515729,2.35436971771246,6.92036425845991,-0.183885382003279,3.31144131161985,-6.80984895477247,-2.38892125539818,-0.212914326426248,2.08646641136827,6.42634983167018
"attackGoals_raw[1,10]",-3.22399589811056,0.0628357331454625,3.43302543649887,-8.69539397337604,-5.95817319440654,-3.43472951886398,-0.872148597605257,4.13116282881285,2984.97480156109,0.999978055829787,-3.2084450633453,3.45154454068117,-8.63837501616566,-5.87510884459419,-3.40548918069355,-0.999555957322233,4.41238360118896,-3.17559292213088,3.3352944120332,-8.66958145681625,-5.82637405509463,-3.38217333463076,-0.796282093850945,3.5163624973067,-3.14633264805602,3.52888032923881,-8.68792039199612,-6.00328887318885,-3.33361702518914,-0.656324393526213,4.31312867235386,-3.36561295891003,3.41349136750873,-8.74774225146379,-6.13704664836985,-3.67539205627811,-1.12328631775638,4.16337375446663
"attackGoals_raw[1,11]",1.88304963732587,0.063623006995538,3.57933257402939,-5.68017989712114,-0.499497357756777,2.01081652566734,4.52837072992891,8.1339381279109,3165.01463970816,1.0001877081056,1.99515779343363,3.60563509842776,-5.4113084288463,-0.473929403777045,2.12807877671136,4.68977000802668,8.41290589333275,1.78815139818858,3.53186801857579,-5.79222127993657,-0.422282774676328,1.82231147414524,4.39260496450654,7.83274001724908,1.90285642216517,3.65456806493674,-5.68377285898223,-0.608229370843117,2.08812376786007,4.63956507659021,8.16868135555069,1.84603293551611,3.52467589483659,-5.65946443550197,-0.486841679269656,2.08523807660535,4.29016756771211,7.99164855779117
"attackGoals_raw[1,12]",4.1069017328586,0.0576756805370453,2.81023605007113,-1.80795803022216,2.16588548517652,4.32824362787167,6.26023106630062,8.72901072153879,2374.10622127736,1.00075032362611,4.12496532436234,2.86822874343188,-1.71383076855475,2.18406558540602,4.28162285632301,6.40256705818466,8.80690360789051,4.05069469088372,2.69433390490299,-1.65067189141709,2.21232211372902,4.28289146893854,6.01290978845482,8.60870217700956,4.14351378238169,2.89535839321986,-2.06926540969014,2.18300973502906,4.435622723115,6.31931311495258,8.7404346124039,4.10843313380666,2.78110983398706,-1.70744741445766,2.08828712421708,4.3210485584756,6.27298909709075,8.71769292475462
"attackGoals_raw[1,13]",-3.40474205452894,0.0628459799540127,3.37070373740239,-8.74759213870159,-6.05405923383357,-3.64312599856217,-1.07581792619321,3.73052359798489,2876.64427219718,1.00052473058754,-3.23762980056479,3.4484941330193,-8.6876530850899,-6.03974215291943,-3.40070654177547,-0.905448041531214,4.21683197418957,-3.47846631450144,3.32753863392697,-8.7544168251943,-6.18423504334609,-3.69432517369418,-1.14336565196461,3.40963183792146,-3.39560870871594,3.35922525093545,-8.75722330070185,-5.93046275732024,-3.64545728382238,-1.19239679353722,3.8813733801284,-3.5072633943336,3.34377841339579,-8.7380368970193,-6.07451135930391,-3.85432682782713,-1.11782215933103,3.64935931959406
"attackGoals_raw[1,14]",-2.46105514130963,0.0714663722715228,3.73935946972758,-8.75806784522474,-5.33595420360731,-2.55232656558492,0.0585572785413411,5.33880450803986,2737.73216470875,0.999767815540219,-2.38920917306023,3.79891798172403,-8.7720697294497,-5.36172886579533,-2.38058906374293,0.303609381964731,5.28610660209656,-2.57087917513893,3.70352672777158,-8.74565952870319,-5.42774444795926,-2.54117944559475,-0.177316431584081,5.37432933525906,-2.49618574475938,3.86371224980404,-8.78057251387108,-5.45324525547009,-2.86434635918025,0.0212899428145406,5.56526390801432,-2.38794647227997,3.58675911181919,-8.67469642465398,-5.06114149418632,-2.41074259070149,0.0579370652535189,5.13353949676848
"attackGoals_raw[1,15]",1.06807633956614,0.0607985358083382,3.04990013803252,-4.86610965370534,-1.0133646495058,0.973401828770515,3.14683682491485,7.19723071646241,2516.43083618662,1.0009944023363,1.1923636757499,2.97299579897271,-4.65059188895291,-0.912364774515711,1.15331179818323,3.1657394721026,7.06874941603025,0.968156677778986,3.21324735615664,-5.47610614470354,-1.15097203847209,0.765619388090498,3.160274230344,7.7687023391603,1.18567960370038,3.0165193547231,-4.45512929695146,-0.915716237398135,0.950209367660983,3.28404198824439,7.15986281294237,0.926105401035302,2.98452493404046,-4.9085603367863,-1.13535657702613,0.930318354559958,2.98436322865037,6.84883067947963
"attackGoals_raw[1,16]",-0.193397513153136,0.0644152884382969,3.6876264220564,-7.5503864246777,-2.83490129383957,-0.106025217048406,2.43313067809937,6.72307962631892,3277.29793618095,0.999618336279678,-0.0911090503561783,3.76817347999603,-7.52554678575114,-2.79468846285109,0.0182411682960533,2.79162891915651,6.80638291555889,-0.262111449514841,3.65791844927749,-7.39322191047225,-2.86370497369231,-0.262230366108231,2.24143592392588,6.90424641062823,-0.140173340877172,3.68564983297906,-7.99100133768617,-2.70057770634347,0.107561629616947,2.48449920575988,6.64311792655963,-0.280196211864354,3.63839689843058,-7.33917168181506,-2.92964652119853,-0.237651713188976,2.33886345780628,6.52045751731329
