"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3","c_summary.mean.chain.4","c_summary.sd.chain.4","c_summary.2.5..chain.4","c_summary.25..chain.4","c_summary.50..chain.4","c_summary.75..chain.4","c_summary.97.5..chain.4"
"delta",0.908190925741939,0.00103248155915405,0.0549381077559366,0.800004967469321,0.871614828180573,0.90798296590092,0.945392284244588,1.0140896953842,2831.27977436088,0.999932482241326,0.908335458544163,0.0530517504756357,0.804977234021224,0.871343424107283,0.908549698293279,0.945214600824002,1.00824936208619,0.908583063555866,0.0581587773996915,0.793706934898159,0.868869837047767,0.907494789233216,0.949094600763452,1.02303206600675,0.907661777237052,0.0534855352502886,0.802564728219908,0.872323836151559,0.90753188263109,0.942228600815663,1.0095002402305,0.908183403630674,0.0549722022997023,0.799035506359574,0.873805147241429,0.908732023048753,0.944415263381259,1.0137069584444
"attackGoals_raw[1,1]",2.04023321045525,0.0620073142655749,2.56000965988021,-2.78159791211873,0.236278491899724,2.00829360349835,3.83302261836127,7.01863035273327,1704.50141458516,1.00052293086782,2.16570243967703,2.34940655161211,-2.22940238972934,0.513958211329694,2.18797549786354,3.71280890832875,6.98657594710738,1.94622578231074,2.63772852140139,-3.05135441612127,0.0579522900998488,1.87932354756128,3.82099546112442,6.85548136734528,2.08573356511761,2.63438563674107,-2.81494207572676,0.295402171669548,1.98893446143307,3.94054371807052,7.03350454385742,1.96327105471561,2.60392571836764,-2.79606014251507,0.0620277317592155,1.93264610703283,3.7994143370386,7.17360290805185
"attackGoals_raw[1,2]",-1.61218856602206,0.0769438949986133,3.52459874924249,-8.11501483883843,-4.17711116366236,-1.69592658542632,0.849589730244749,5.44319733793424,2098.31667251702,1.00037419635375,-1.56542370311397,3.53149471775075,-7.99512076909199,-4.10413980139683,-1.57540743653188,0.895037309559347,5.50273411943055,-1.66489820883481,3.64536672897535,-8.33482219809319,-4.44012078257799,-1.70795237765156,0.977980936211681,5.65095523980054,-1.79901761712712,3.46484450343661,-8.42256309115716,-4.22027990766838,-1.8952050116211,0.398663430740975,5.26326790638135,-1.41941473501232,3.44653872941964,-7.66681611348597,-4.01800277995528,-1.51374503419926,1.06688266133271,5.3593519076469
"attackGoals_raw[1,3]",1.44280889321635,0.0658528110693269,3.10881872680296,-4.59179058482851,-0.651306671737326,1.50020602312857,3.63960482959195,7.29758472464523,2228.65149839229,1.00026160710149,1.5915481563746,3.00456591057569,-4.22363160889182,-0.475097938199025,1.54071608781119,3.76372064420869,7.25147989280279,1.4049056075272,3.10379317301549,-4.97942390798174,-0.602311665986806,1.57173018765473,3.50719159670012,7.33875296149878,1.46158226149835,3.13506217681645,-4.49814399682943,-0.759013280420563,1.53472452507543,3.68140948462164,7.18977020523464,1.31319954746523,3.18620818785668,-4.75070998917131,-0.901481998734984,1.31375686383758,3.62293363753568,7.47579611326536
"attackGoals_raw[1,4]",-2.45956963601784,0.0617294399142752,2.92271138398592,-7.77594846396604,-4.55273783259322,-2.54797928066386,-0.552000440052034,3.64567793381362,2241.75005583043,0.999662625770137,-2.44247839870738,3.00019775619234,-7.68335539305165,-4.57855431240663,-2.60464701294612,-0.498984121849281,4.05534782103791,-2.53823420748564,2.96257723901632,-8.03303591651458,-4.5648986636766,-2.66666306630968,-0.654863877994808,3.63584956485678,-2.44155383215326,2.98625474203122,-7.83294571189964,-4.66227605546928,-2.50100339793253,-0.380735978710024,3.88561677789621,-2.4160121057251,2.73587431239281,-7.36822944850132,-4.39600169353281,-2.44277271295599,-0.57511929825998,2.90589926381373
"attackGoals_raw[1,5]",1.5066257141869,0.0642404481758052,3.40953405619646,-5.33903503277293,-0.771923444136989,1.54439625690532,4.04841862053645,7.78419332836638,2816.90980331647,1.000210575231,1.62495915007351,3.36245731653061,-5.03334451755564,-0.574347924331187,1.55742775175419,4.12430128892578,7.86000563476797,1.38708089824752,3.31759181171798,-5.37143932869871,-0.83108682598048,1.42603421192117,3.71452193091271,7.54079257863024,1.4664815627843,3.49179460166324,-5.51653637138958,-0.986092450947234,1.56300779484978,4.02048099836794,8.02144635609504,1.54798124564226,3.46277446386365,-5.36963156390702,-0.772707508817514,1.651220384589,4.15995303719395,7.75839227705066
"attackGoals_raw[1,6]",0.982475004563611,0.0643260651959803,3.07193523869851,-4.9952111773641,-1.10736065549184,0.929633701987652,3.13063367139327,6.97994751034458,2280.60534871888,1.00013121125,1.01363088341358,2.95969849777812,-4.78081151237643,-0.97792183272114,0.90140126690114,3.007455599394,6.88755717896058,0.997954966600739,3.12419177923316,-5.22315527481051,-1.07035722430717,0.922943045763385,3.07568363238561,7.29169362490697,0.937247024455663,3.12403461858302,-4.94530883921089,-1.25266749442139,0.773669310780256,3.31238817329517,6.87059843836387,0.981067143784467,3.08002737242673,-4.96896445102753,-1.11510661240412,1.03812485447707,3.13967445248739,6.86501201737353
"attackGoals_raw[1,7]",1.19272805374426,0.061110404095162,3.01939278975415,-4.91543537226398,-0.892190105314987,1.24461421974822,3.31172088929045,7.04729649207907,2441.2312248618,0.99987181716297,1.3352897761206,3.02097713688755,-4.64906042794004,-0.787218038684279,1.37593069566292,3.52098943735384,7.16653369093313,1.19835781409549,3.03442292674324,-4.85634690054447,-0.932350298041096,1.25126606921433,3.23308735190032,7.30358410578685,1.16929797617603,2.97797344604942,-4.8528754859042,-0.855749794110115,1.17465619528068,3.31804352485366,6.96257544316537,1.06796664858491,3.04137775225862,-5.31124510939964,-1.02549797791317,1.1559067973102,3.09187027224479,6.77837641513035
"attackGoals_raw[1,8]",-0.275479834052199,0.0584022792684635,3.04423377360111,-6.22836594774683,-2.37183981901925,-0.227662642040067,1.6973170030427,6.01234480803887,2717.04234117808,1.00017604924489,-0.29433278307408,3.00901360257965,-6.06282905870839,-2.40028322354219,-0.254233489882883,1.62450045548217,5.88658523461668,-0.122320518567548,3.10416741508909,-6.45057215436726,-2.09120830642127,-0.0838639208767864,1.95539526808231,6.21293572843232,-0.394528188208894,3.08104727320303,-6.22616314947883,-2.58575891953613,-0.392052046619254,1.61516138056712,6.17996594193389,-0.290737846358272,2.97835137543536,-5.96282606765481,-2.37755199598385,-0.200063908636631,1.72649367356576,5.48610304502039
"attackGoals_raw[1,9]",-0.0840717636980052,0.0708985210860429,3.36110198258362,-6.67287494440511,-2.49689505681334,-0.0430727960936599,2.1945994592939,6.36495317582681,2247.44476995405,1.00182183788891,0.161620817961766,3.34262378498622,-6.38759856685813,-2.11790354992528,0.246616336789264,2.48503315869397,6.61500095109297,-0.392861601721889,3.317048386979,-6.92379580040614,-2.8611012001376,-0.379179462157057,1.86310697568107,6.06904770910439,-0.0317108272343354,3.35052888076103,-6.62531125753394,-2.40229066661536,0.00503210238845497,2.18787230722517,6.33332859333077,-0.0733354437975621,3.41386485048594,-6.66661384898367,-2.4797810708029,-0.151747838162911,2.3619923470224,6.35219092219076
