"","V1","V2","V3"
"1","Goal attack mean estimates","Behind attack mean estimates","defend means estimates"
"2","0.00402609609796276","0.0244345062774303","0.0318162576324304"
"3","0.0251899987471886","-0.0133139084638392","0.00873647064708907"
"4","-0.0573560147899278","-0.036664022592909","-0.0203154782648603"
"5","-0.00104668616499028","0.00502079145645251","-0.0406538080901158"
"6","-0.00398262381984472","0.00548602500496633","0.0232943267545338"
"7","0.0180484131783483","-0.0876144277521192","-0.0232785923681304"
"8","-0.0131420449110875","-0.0149885354744131","-0.0211684578440783"
"9","0.00743250314255662","0.0120980206949899","-0.0227290235441466"
"10","0.0216013232816237","0.00749410578292337","-0.00244736807074154"
"11","0.0150538862029061","0.0130342850029899","-0.01263339782918"
"12","-0.0291109449683606","-0.00779341879893605","0.0162065536058596"
"13","0.0182294724401226","0.0525369592716809","-0.00746317241884623"
"14","0.00134751571845007","-0.0038599980442551","-0.0118026649864438"
"15","-0.0291591834611403","-0.0248437153364832","-0.0197511028694348"
"16","-0.00426555163308754","-0.0374355709975713","0.0389121983424901"
"17","-0.00420042639626202","0.0499365007690043","0.0141723887716437"
"18","0.039385360679758","0.00479089877388864","0.0156092378409946"
"19","-0.00805109334421604","0.0516815044262","0.0334956326909365"
